MATHEMATICAL DOUBLE-STRUCK SMALL J,U+1D55B,U+0F6EF,\[DoubleStruckJ]
MATHEMATICAL DOUBLE-STRUCK SMALL K,U+1D55C,U+0F6F0,\[DoubleStruckK]
MATHEMATICAL DOUBLE-STRUCK SMALL L,U+1D55D,U+0F6F1,\[DoubleStruckL]
MATHEMATICAL DOUBLE-STRUCK SMALL M,U+1D55E,U+0F6F2,\[DoubleStruckM]
MATHEMATICAL DOUBLE-STRUCK SMALL N,U+1D55F,U+0F6F3,\[DoubleStruckN]
MATHEMATICAL DOUBLE-STRUCK DIGIT NINE,U+1D7E1,U+0F7E4,\[DoubleStruckNine]
MATHEMATICAL DOUBLE-STRUCK SMALL O,U+1D560,U+0F6F4,\[DoubleStruckO]
MATHEMATICAL DOUBLE-STRUCK DIGIT ONE,U+1D7D9,U+0F7DC,\[DoubleStruckOne]
MATHEMATICAL DOUBLE-STRUCK SMALL P,U+1D561,U+0F6F5,\[DoubleStruckP]
MATHEMATICAL DOUBLE-STRUCK SMALL Q,U+1D562,U+0F6F6,\[DoubleStruckQ]
MATHEMATICAL DOUBLE-STRUCK SMALL R,U+1D563,U+0F6F7,\[DoubleStruckR]
MATHEMATICAL DOUBLE-STRUCK SMALL S,U+1D564,U+0F6F8,\[DoubleStruckS]
MATHEMATICAL DOUBLE-STRUCK DIGIT SEVEN,U+1D7DF,U+0F7E2,\[DoubleStruckSeven]
MATHEMATICAL DOUBLE-STRUCK DIGIT SIX,U+1D7DE,U+0F7E1,\[DoubleStruckSix]
MATHEMATICAL DOUBLE-STRUCK SMALL T,U+1D565,U+0F6F9,\[DoubleStruckT]
MATHEMATICAL DOUBLE-STRUCK DIGIT THREE,U+1D7DB,U+0F7DE,\[DoubleStruckThree]
MATHEMATICAL DOUBLE-STRUCK DIGIT TWO,U+1D7DA,U+0F7DD,\[DoubleStruckTwo]
MATHEMATICAL DOUBLE-STRUCK SMALL U,U+1D566,U+0F6FA,\[DoubleStruckU]
MATHEMATICAL DOUBLE-STRUCK SMALL V,U+1D567,U+0F6FB,\[DoubleStruckV]
MATHEMATICAL DOUBLE-STRUCK SMALL W,U+1D568,U+0F6FC,\[DoubleStruckW]
MATHEMATICAL DOUBLE-STRUCK SMALL X,U+1D569,U+0F6FD,\[DoubleStruckX]
MATHEMATICAL DOUBLE-STRUCK SMALL Y,U+1D56A,U+0F6FE,\[DoubleStruckY]
MATHEMATICAL DOUBLE-STRUCK SMALL Z,U+1D56B,U+0F6FF,\[DoubleStruckZ]
MATHEMATICAL DOUBLE-STRUCK DIGIT ZERO,U+1D7D8,U+0F7DB,\[DoubleStruckZero]
SPACE + COMBINING INVERTED BREVE,U+00020 U+00311,U+0F755,\[DownBreve]
CIRCLED PLUS,U+02295,U+02641,\[Earth]
TWO CONSECUTIVE EQUALS SIGNS,U+02A75,U+0F431,\[Equal]
LEFT RIGHT DOUBLE ARROW,U+021D4,U+029E6,\[Equivalent]
DOUBLE-STRUCK ITALIC SMALL E,U+02147,U+0F74D,\[ExponentialE]
BULLET,U+02022,U+0F750,\[FilledSmallCircle]
LATIN SMALL LETTER A WITH DOT BELOW,U+01EA1,U+0F800,\[FormalA]
GREEK SMALL LETTER ALPHA + COMBINING DOT BELOW,U+003B1 U+00323,U+0F854,\[FormalAlpha]
LATIN SMALL LETTER B WITH DOT BELOW,U+01E05,U+0F801,\[FormalB]
GREEK SMALL LETTER BETA + COMBINING DOT BELOW,U+003B2 U+00323,U+0F855,\[FormalBeta]
LATIN SMALL LETTER C + COMBINING DOT BELOW,U+00063 U+00323,U+0F802,\[FormalC]
LATIN CAPITAL LETTER A WITH DOT BELOW,U+01EA0,U+0F81A,\[FormalCapitalA]
GREEK CAPITAL LETTER ALPHA + COMBINING DOT BELOW,U+00391 U+00323,U+0F834,\[FormalCapitalAlpha]
LATIN CAPITAL LETTER B WITH DOT BELOW,U+01E04,U+0F81B,\[FormalCapitalB]
GREEK CAPITAL LETTER BETA + COMBINING DOT BELOW,U+00392 U+00323,U+0F835,\[FormalCapitalBeta]
LATIN CAPITAL LETTER C + COMBINING DOT BELOW,U+00043 U+00323,U+0F81C,\[FormalCapitalC]
GREEK CAPITAL LETTER CHI + COMBINING DOT BELOW,U+003A7 U+00323,U+0F84A,\[FormalCapitalChi]
LATIN CAPITAL LETTER D WITH DOT BELOW,U+01E0C,U+0F81D,\[FormalCapitalD]
GREEK CAPITAL LETTER DELTA + COMBINING DOT BELOW,U+00394 U+00323,U+0F837,\[FormalCapitalDelta]
GREEK LETTER DIGAMMA + COMBINING DOT BELOW,U+003DC U+00323,U+0F87F,\[FormalCapitalDigamma]
LATIN CAPITAL LETTER E WITH DOT BELOW,U+01EB8,U+0F81E,\[FormalCapitalE]
GREEK CAPITAL LETTER EPSILON + COMBINING DOT BELOW,U+00395 U+00323,U+0F838,\[FormalCapitalEpsilon]
GREEK CAPITAL LETTER ETA + COMBINING DOT BELOW,U+00397 U+00323,U+0F83A,\[FormalCapitalEta]
LATIN CAPITAL LETTER F + COMBINING DOT BELOW,U+00046 U+00323,U+0F81F,\[FormalCapitalF]
LATIN CAPITAL LETTER G + COMBINING DOT BELOW,U+00047 U+00323,U+0F820,\[FormalCapitalG]
GREEK CAPITAL LETTER GAMMA,U+00393,U+0F836,\[FormalCapitalGamma]
LATIN CAPITAL LETTER H WITH DOT BELOW,U+01E24,U+0F821,\[FormalCapitalH]
LATIN CAPITAL LETTER I WITH DOT BELOW,U+01ECA,U+0F822,\[FormalCapitalI]
GREEK CAPITAL LETTER IOTA + COMBINING DOT BELOW,U+00399 U+00323,U+0F85C,\[FormalIota]
LATIN CAPITAL LETTER J + COMBINING DOT BELOW,U+0004A U+00323,U+0F823,\[FormalCapitalJ]
LATIN CAPITAL LETTER K WITH DOT BELOW,U+01E32,U+0F824,\[FormalCapitalK]
GREEK CAPITAL LETTER KAPPA + COMBINING DOT BELOW,U+0039A U+00323,U+0F83D,\[FormalCapitalKappa]
