\[DoubleStruckL],U+0F6F1,U+1D55D,MATHEMATICAL DOUBLE-STRUCK SMALL L
\[DoubleStruckM],U+0F6F2,U+1D55E,MATHEMATICAL DOUBLE-STRUCK SMALL M
\[DoubleStruckN],U+0F6F3,U+1D55F,MATHEMATICAL DOUBLE-STRUCK SMALL N
\[DoubleStruckNine],U+0F7E4,U+1D7E1,MATHEMATICAL DOUBLE-STRUCK DIGIT NINE
\[DoubleStruckO],U+0F6F4,U+1D560,MATHEMATICAL DOUBLE-STRUCK SMALL O
\[DoubleStruckOne],U+0F7DC,U+1D7D9,MATHEMATICAL DOUBLE-STRUCK DIGIT ONE
\[DoubleStruckP],U+0F6F5,U+1D561,MATHEMATICAL DOUBLE-STRUCK SMALL P
\[DoubleStruckQ],U+0F6F6,U+1D562,MATHEMATICAL DOUBLE-STRUCK SMALL Q
\[DoubleStruckR],U+0F6F7,U+1D563,MATHEMATICAL DOUBLE-STRUCK SMALL R
\[DoubleStruckS],U+0F6F8,U+1D564,MATHEMATICAL DOUBLE-STRUCK SMALL S
\[DoubleStruckSeven],U+0F7E2,U+1D7DF,MATHEMATICAL DOUBLE-STRUCK DIGIT SEVEN
\[DoubleStruckSix],U+0F7E1,U+1D7DE,MATHEMATICAL DOUBLE-STRUCK DIGIT SIX
\[DoubleStruckT],U+0F6F9,U+1D565,MATHEMATICAL DOUBLE-STRUCK SMALL T
\[DoubleStruckThree],U+0F7DE,U+1D7DB,MATHEMATICAL DOUBLE-STRUCK DIGIT THREE
\[DoubleStruckTwo],U+0F7DD,U+1D7DA,MATHEMATICAL DOUBLE-STRUCK DIGIT TWO
\[DoubleStruckU],U+0F6FA,U+1D566,MATHEMATICAL DOUBLE-STRUCK SMALL U
\[DoubleStruckV],U+0F6FB,U+1D567,MATHEMATICAL DOUBLE-STRUCK SMALL V
\[DoubleStruckW],U+0F6FC,U+1D568,MATHEMATICAL DOUBLE-STRUCK SMALL W
\[DoubleStruckX],U+0F6FD,U+1D569,MATHEMATICAL DOUBLE-STRUCK SMALL X
\[DoubleStruckY],U+0F6FE,U+1D56A,MATHEMATICAL DOUBLE-STRUCK SMALL Y
\[DoubleStruckZ],U+0F6FF,U+1D56B,MATHEMATICAL DOUBLE-STRUCK SMALL Z
\[DoubleStruckZero],U+0F7DB,U+1D7D8,MATHEMATICAL DOUBLE-STRUCK DIGIT ZERO
\[DownBreve],U+0F755,U+00020 U+00311,SPACE + COMBINING INVERTED BREVE
\[Equal],U+0F431,U+02A75,TWO CONSECUTIVE EQUALS SIGNS
\[Equivalent],U+029E6,U+021D4,LEFT RIGHT DOUBLE ARROW
\[ExponentialE],U+0F74D,U+02147,DOUBLE-STRUCK ITALIC SMALL E
\[FilledSmallCircle],U+0F750,U+02022,BULLET
\[FormalA],U+0F800,U+01EA1,LATIN SMALL LETTER A WITH DOT BELOW
\[FormalAlpha],U+0F854,U+003B1 U+00323,GREEK SMALL LETTER ALPHA + COMBINING DOT BELOW
\[FormalB],U+0F801,U+01E05,LATIN SMALL LETTER B WITH DOT BELOW
